iterations,validAccuracies,randomAccuracies
647,0.4462163203604351,0.016510063135429943
1294,0.47641066682475225,0.0149588483465236
1941,0.48964045410083884,0.015383703352402406
2588,0.4982363577081543,0.015472626493167739
3235,0.5040460029048226,0.015571429982906997
3886,0.5090059380897334,0.016272934760055726
4533,0.5157245753920029,0.01590736184802047
5180,0.5188764067146852,0.01576903696238551
5827,0.5214354170989319,0.015452865795219888
6474,0.5225815375799073,0.015304660560611002
7125,0.5257432492515636,0.015403464050350259
7772,0.5269091304304868,0.015512147889063441
8419,0.5288160377824545,0.015927122545968325
9066,0.5321555957356414,0.015976524290837953
9713,0.5349418541462885,0.015581310331880921
10364,0.5261187025125728,0.015294780211637075
11011,0.5285986701050281,0.01598640463981188
11658,0.531948108407189,0.01569987451956803
