iterations,trainLosses,validLosses,randomLosses
647,1.9374094123633974,1.54896749979184,4.1588826179504395
1294,1.710558671671235,1.441503280180472,4.1588826179504395
1941,1.6138411528176098,1.3919312527150283,4.1588826179504395
2588,1.554149269458868,1.3635487173810417,4.1588826179504395
3235,1.511738289231679,1.3365485373838448,4.1588826179504395
3886,1.2770022938756338,1.3184948559160585,4.1588826179504395
4533,1.2740401129081407,1.3009972157301726,4.1588826179504395
5180,1.2699605520087256,1.2904514739542832,4.1588826179504395
5827,1.267873152514698,1.282430985533161,4.1588826179504395
6474,1.2626487796052346,1.2729857241665876,4.1588826179504395
7125,1.144743054782773,1.280614803749838,4.1588826179504395
7772,1.148979247675797,1.2729523920718535,4.1588826179504395
8419,1.1526350531302918,1.2711789022257298,4.1588826179504395
9066,1.154347282657299,1.2602862670097823,4.1588826179504395
9713,1.155588713385038,1.2473182177837985,4.1588826179504395
10364,1.0101390282927194,1.2997889754212932,4.1588826179504395
11011,1.0216857501675578,1.2805781991393477,4.1588826179504395
11658,1.0294954963469862,1.2932582219441733,4.1588826179504395
