iterations,validAccuracies,randomAccuracies
485,0.5407692510479002,0.015553739488044711
970,0.6060817757625286,0.015856905596709988
1455,0.6183138691904146,0.016239158516331426
1940,0.6317454459178025,0.01542192813645111
2425,0.642791237181346,0.015448290406769831
2913,0.6428175994516647,0.01556692062320407
3398,0.6530725226056467,0.016410513273403104
3883,0.6567896027205863,0.015935992407666147
4368,0.6555110326101283,0.015039675216829673
4853,0.6626683890016608,0.01577781878575383
5341,0.6593994674821395,0.01589644900218807
5826,0.6649750876545488,0.015197848838741992
6311,0.6625497587852266,0.015448290406769831
