iterations,validAccuracies,randomAccuracies
785,0.5596797077577912,0.015443826546421175
1570,0.5898987263327843,0.01558244589768261
2355,0.6028881749539294,0.015786297884831782
3140,0.606916290219997,0.015924917236093218
3925,0.6165462580929238,0.01610430698478449
4710,0.6223438086074463,0.01604722842838272
5495,0.6242274009687047,0.015998303951466918
6280,0.6258826791043559,0.014897503220861396
7065,0.6324140967726153,0.015729219328430015
7850,0.6348358583799475,0.015370439831047474
8635,0.6347543175850878,0.015411210228477306
9420,0.6352354082747599,0.015778143805345816
10205,0.6382361095255956,0.015133971525954436
