iterations,trainLosses,validLosses,randomLosses
481,3.243219609567876,2.7072277908705398,4.1588826179504395
962,2.88575801036462,2.3764946270622684,4.1588826179504395
1443,2.6919910474857853,2.2345043329701473,4.1588826179504395
1924,2.565268727077516,2.118131848268731,4.1588826179504395
2405,2.471801640486767,2.069155824144813,4.1588826179504395
2887,1.9374228547367882,2.0232352545095043,4.1588826179504395
3368,1.927721592715773,2.0019544608569224,4.1588826179504395
3849,1.9184541995543534,1.9686526218522031,4.1588826179504395
4330,1.9099146070078852,1.9486745124639466,4.1588826179504395
4811,1.9018908880852363,1.9158385829672069,4.1588826179504395
5293,1.6565649967927198,1.933283742876148,4.1588826179504395
5774,1.669651038557477,1.9330502368286995,4.1588826179504395
6255,1.6784635236175707,1.9141535889666739,4.1588826179504395
6736,1.6841695784531117,1.9018905598459845,4.1588826179504395
7217,1.6885955046219538,1.9064407677349458,4.1588826179504395
7699,1.437761009111226,1.9962850385330049,4.1588826179504395
8180,1.4656045690891402,1.9497621174270527,4.1588826179504395
