iterations,validAccuracies,randomAccuracies
701,0.2858198943131725,0.015424070676925042
1402,0.32783907857149375,0.015150270605737023
2103,0.3507378911918517,0.015278043972291433
2804,0.3661163285235787,0.015980797488340682
3505,0.3738557438691601,0.01583477078370707
4208,0.37694055800454507,0.015907784136023874
4909,0.38488076006899763,0.015506210698281448
5610,0.38973614799806516,0.015752630762350665
6311,0.3977767434219533,0.01523241062709343
7012,0.3962799696994588,0.015360183993647839
7715,0.3935054623114202,0.015843897452746673
8416,0.3980505434931413,0.015442324015004245
9117,0.4003139574149623,0.015579224050598254
