iterations,trainLosses,validLosses,randomLosses
701,3.0064610224137462,2.5444984131902117,4.158882620122818
1402,2.7012470385827623,2.307349700862563,4.158882620122818
2103,2.544677886461792,2.1946312944003825,4.158882620122818
2804,2.445830001470536,2.12158310060349,4.158882620122818
3505,2.3756091192003326,2.0680402373398628,4.158882620122818
4208,1.96238870746569,2.0647553536777887,4.158882620122818
4909,1.960440371243998,2.033680903069794,4.158882620122818
5610,1.9576690881749985,2.012220589337968,4.158882620122818
6311,1.9536117239192277,1.990624331667646,4.158882620122818
7012,1.9482895319540048,1.9715512127430943,4.158882620122818
7715,1.7414557416836987,1.995440737533135,4.158882620122818
8416,1.7559522581678655,2.0054930641330726,4.158882620122818
9117,1.7655119476463474,1.9980522847664384,4.158882620122818
