iterations,iterations_proportions,validAccuracies,randomAccuracies
529,0.2,0.4645127505662859,0.015344521031736367
1058,0.4,0.5081837445502594,0.015344521031736367
1587,0.6,0.5269259809533088,0.01563679762281706
2116,0.8,0.5430620844192221,0.015015709866770588
2645,1.0,0.5488345470930658,0.01591689602260272
3174,1.2,0.5573714591908809,0.015795114109652435
3703,1.4,0.5615242224224858,0.014942640719000415
4232,1.6,0.5604890761624084,0.015161848162310934
4761,1.8,0.5629612489952992,0.015795114109652435
5290,2.0,0.5634240202645103,0.014942640719000415
5819,2.2,0.5676985654090655,0.015466302944686655
6348,2.4,0.564166889933507,0.015953430596487808
6877,2.6,0.5651167888545193,0.01477214604087001
7406,2.8,0.5613780841269455,0.015612441240227001
7935,3.0,0.5661032223494167,0.015283630075261222
8464,3.2,0.5641912463160972,0.015904717831307695
8993,3.4,0.5562754219743283,0.015819470492242492
9522,3.6,0.5570182916433252,0.016233528996273474
10051,3.8,0.5532795869157513,0.01625788537886353
