iterations,validAccuracies,randomAccuracies
529,0.4010156611540054,0.01584382687483255
1058,0.44930218963879487,0.015393233796916482
1587,0.4764108434615291,0.01584382687483255
2116,0.4938987261611905,0.015113135397130818
2645,0.5032637552670677,0.016099568892028154
3174,0.5091823562364518,0.015332342840441337
3703,0.5137004652069075,0.016416201865698907
4232,0.5210073799839248,0.015332342840441337
4761,0.5201061938280926,0.016221350804978444
5290,0.5254280634240203,0.01564897581411209
5819,0.5251966777894147,0.01518620454490099
6348,0.5249409357722191,0.01510095720583579
6877,0.5217867842268067,0.016355310909223764
