iterations,trainLosses,validLosses,randomLosses
529,2.401047733871157,1.9259205802958062,4.158882619399792
1058,2.1005072688335282,1.7268523923531853,4.158882619399792
1587,1.9524889676617465,1.6171163635775674,4.158882619399792
2116,1.8566873454980002,1.5452663376700915,4.158882619399792
2645,1.7902305638632388,1.5129811618828122,4.158882619399792
3174,1.4679316951557009,1.4821380304348142,4.158882619399792
3703,1.4395728362530527,1.4654782024922703,4.158882619399792
4232,1.4164358393231051,1.4611673398583132,4.158882619399792
4761,1.3953438321786928,1.4547284573407158,4.158882619399792
5290,1.3777580201738497,1.442162288720847,4.158882619399792
5819,1.2748494109945172,1.4655573715917245,4.158882619399792
6348,1.2483848948559824,1.4739200398552381,4.158882619399792
6877,1.227027578404961,1.4944411008916003,4.158882619399792
