iterations,validAccuracies,randomAccuracies
647,0.4402809844279609,0.015719408557253033
1294,0.4780566881171096,0.015316598712973424
1941,0.4916834504101783,0.0157980056000393
2588,0.4924399469469961,0.01539519575575969
3235,0.5048189811858329,0.01608291988013951
3883,0.5089158520410669,0.016377658790588005
4530,0.511833767254507,0.015542565210983936
5177,0.5170702952301419,0.015316598712973424
5824,0.5095937515350984,0.015591688362725353
6471,0.5170801198604903,0.015188878518445744
7119,0.51353342830476,0.015070982954266345
7766,0.5142801002112296,0.015277300191580292
8413,0.5193004863192022,0.015228177039838876
