iterations,trainLosses,validLosses,randomLosses
647,1.8973102834899054,1.5569212816509546,4.158882619119158
1294,1.6929305242791979,1.443836154306636,4.158882619119158
1941,1.6004169699704751,1.394269767052987,4.158882619119158
2588,1.5445697031212737,1.3713937898476918,4.158882619119158
3235,1.505131447075692,1.3339218657975103,4.158882619119158
3883,1.3139463572819046,1.321249363761322,4.158882619119158
4530,1.2999431717524756,1.3120446114563475,4.158882619119158
5177,1.2860200817839256,1.3046239930040695,4.158882619119158
5824,1.2741977965813331,1.3154849313637789,4.158882619119158
6471,1.2632416654038465,1.2971395891086728,4.158882619119158
7119,1.1902418497725284,1.3118192194139255,4.158882619119158
7766,1.1765543442144644,1.3036805458512961,4.158882619119158
8413,1.1605669649405188,1.3179266490772659,4.158882619119158
