iterations,validAccuracies,randomAccuracies
485,0.5460883138873456,0.015371590337857502
970,0.6007090509828822,0.015464190279651823
1455,0.6164907267772575,0.015517104532105723
1940,0.6291107759875122,0.016165304124665977
2425,0.636571685583512,0.01601978993041776
2914,0.6417043680715401,0.015173161891155383
3399,0.6431991957033627,0.01601978993041776
3884,0.6476307643463767,0.015173161891155383
4369,0.6492314204831071,0.014961504881339788
4854,0.651652247532873,0.01587427573616954
5343,0.6522210757467524,0.015186390454268858
5828,0.6489536206577241,0.01584781860994259
6313,0.6479614784242136,0.015570018784559622
