iterations,iterations_proportions,validAccuracies,randomAccuracies
785,0.2,0.6164545217787616,0.015479523406471775
1570,0.4,0.6386564880526076,0.015935282244937822
2355,0.6,0.6501155674197538,0.015878312390129566
3140,0.8,0.6541522885604532,0.01617130021485774
3925,1.0,0.6656520606810339,0.016228270069665995
4710,1.2,0.6635523146038154,0.015560908913340712
5495,1.4,0.6692248844325802,0.015520216159906244
6280,1.6,0.6691190832736507,0.016016667751806758
7065,1.8,0.67590663454652,0.016293378475161144
7850,2.0,0.6759717429520151,0.015992252099746078
8635,2.2,0.6753532130998112,0.01511328862556156
9420,2.4,0.6736603945569373,0.01579692688326063
10205,2.6,0.6696155348655511,0.015894589491503353
10990,2.8,0.6754752913601146,0.016032944853180544
11775,3.0,0.6745637736831825,0.014950517611823687
12560,3.2,0.6712839377563643,0.01591086659287714
13345,3.4,0.6680610716843545,0.015902728042190246
14130,3.6,0.6644150009766261,0.015088872973500879
14915,3.8,0.6691190832736507,0.01571554137639169
