iterations,validAccuracies,randomAccuracies
785,0.5593137574060811,0.01535744514616837
1570,0.5884009375610392,0.015739957028452375
2355,0.6020899798163943,0.015674848622957222
3140,0.610611042385572,0.015650432970896543
3925,0.6233234585584999,0.01548766195715867
4710,0.6266439872387525,0.016252685721726674
5495,0.6297691907025197,0.015658571521583436
6280,0.629362263168175,0.016049221954554334
7065,0.6334478156129957,0.01613060746142327
7850,0.6351487727065565,0.015748095579139268
8635,0.63181196692493,0.01578064978188684
9420,0.6336675564815417,0.015300475291360114
10205,0.6307295396835731,0.015145842828309134
