iterations,trainLosses,validLosses,randomLosses
785,1.6532978780710015,1.2742198712942077,4.158882619888802
1570,1.4308312429743968,1.1611577679471272,4.158882619888802
2355,1.3315745345093388,1.1128563716159603,4.158882619888802
3140,1.2699703458957612,1.0736152534562398,4.158882619888802
3925,1.2287442944915432,1.0547314341959915,4.158882619888802
4710,1.0345889002654203,1.0349898706606733,4.158882619888802
5495,1.0166810992417061,1.02863370851288,4.158882619888802
6280,1.002002835071264,1.025352362331336,4.158882619888802
7065,0.9881767647471398,1.0169642989228411,4.158882619888802
7850,0.9775301315678153,1.0149895317428481,4.158882619888802
8635,0.9177492024792228,1.0289472537796671,4.158882619888802
9420,0.8996092169148148,1.0374042316665495,4.158882619888802
10205,0.885297223337137,1.0577620737920932,4.158882619888802
