iterations,iterations_proportions,validAccuracies
6836,0.1999941487961148,0.620225493307569
13672,0.3999882975922296,0.6419603294303124
20508,0.5999824463883444,0.6560660658130388
27344,0.7999765951844592,0.6646060888623008
34180,0.999970743980574,0.6692608788865203
41017,1.1999941487961148,0.673545869622814
47853,1.3999882975922295,0.678145423804027
54689,1.5999824463883443,0.6798586711379614
61525,1.7999765951844593,0.6837270525498831
68361,1.999970743980574,0.6837925866009079
75198,2.1999941487961148,0.6847933851801297
82034,2.3999882975922295,0.687176952235975
88870,2.5999824463883443,0.6873988318087304
95706,2.799976595184459,0.6905631902724999
102542,2.999970743980574,0.6885466139023936
109379,3.1999941487961148,0.688932328602711
116215,3.3999882975922295,0.6912999802461646
123051,3.5999824463883443,0.6910387802427943
129887,3.799976595184459,0.6929027558940858
136723,3.999970743980574,0.6911483157280787
143560,4.199994148796115,0.6900679400868982
150396,4.3999882975922295,0.6915967558772341
157232,4.599982446388345,0.6917193981727234
164068,4.799976595184459,0.692458060547846
