iterations,iterations_proportions,trainLosses,validLosses,randomLosses
481,0.19983381803074365,2.8784630021037776,2.3260742200173414,4.158882621118793
962,0.3996676360614873,2.5203951880986377,2.0313437480071057,4.158882621118793
1443,0.599501454092231,2.3360072299166843,1.8934215778528258,4.158882621118793
1924,0.7993352721229746,2.2162830322175413,1.8040939854625055,4.158882621118793
2405,0.9991690901537184,2.131807532578149,1.7595617854317953,4.158882621118793
2888,1.1998338180307437,1.7362667934314624,1.7426921636163197,4.158882621118793
3369,1.3996676360614873,1.701597868776619,1.7265741001331925,4.158882621118793
3850,1.599501454092231,1.671439560023101,1.6884965179766531,4.158882621118793
4331,1.7993352721229747,1.6461282878680437,1.6808957732793104,4.158882621118793
4812,1.9991690901537182,1.626152680817364,1.6740649760363506,4.158882621118793
5295,2.1998338180307435,1.515512827032569,1.6846361516718056,4.158882621118793
5776,2.3996676360614875,1.4881877230011749,1.7245444784132746,4.158882621118793
6257,2.599501454092231,1.4606330423659115,1.7049996195441464,4.158882621118793
6738,2.7993352721229745,1.4412810514349947,1.725316937183621,4.158882621118793
7219,2.9991690901537185,1.426177890880688,1.7354898967616186,4.158882621118793
7702,3.1998338180307435,1.3340964879910315,1.7590756115327246,4.158882621118793
8183,3.3996676360614875,1.3055149112322721,1.8458959905808154,4.158882621118793
8664,3.599501454092231,1.2755883259650989,1.8315301119687153,4.158882621118793
9145,3.7993352721229745,1.2579998901876739,1.8648341315925319,4.158882621118793
9626,3.9991690901537185,1.2452754697036346,1.8708321707589286,4.158882621118793
