iterations,trainLosses,validLosses,randomLosses
481,3.2081053494911433,2.6981903271025596,4.158882621118793
962,2.8626400566894152,2.391385939430161,4.158882621118793
1443,2.6771849561547207,2.2241049343565376,4.158882621118793
1924,2.5507232384473517,2.1181556378488127,4.158882621118793
2405,2.459617659951446,2.0550938824878577,4.158882621118793
2888,2.0252722600889306,2.0396184624231535,4.158882621118793
3369,1.9868984259587563,1.9969642122718583,4.158882621118793
3850,1.9521936554918666,1.969993688339411,4.158882621118793
4331,1.9205420546992653,1.9581262427707051,4.158882621118793
4812,1.8941107720198602,1.9449654841343826,4.158882621118793
5295,1.7508307628472977,1.9806057194934732,4.158882621118793
5776,1.7255993601933834,1.961330501740161,4.158882621118793
6257,1.697306719903556,1.9796571695923408,4.158882621118793
