iterations,trainLosses,validLosses,randomLosses
3629,1.8534218290680595,1.6374923281335474,4.158882618160592
7258,1.720980772041821,1.547686510750143,4.158882618160592
10887,1.6552071115733442,1.505367939143309,4.158882618160592
14516,1.6137705272503482,1.471363056278691,4.158882618160592
18145,1.5844367766189786,1.4516356951762739,4.158882618160592
21774,1.443076723040415,1.4442310982099342,4.158882618160592
25403,1.4334044464858446,1.4352268969870812,4.158882618160592
29032,1.4253741573825338,1.429367831542451,4.158882618160592
32661,1.4182871949019002,1.4232442679516593,4.158882618160592
36290,1.412196679409623,1.4237543746415293,4.158882618160592
39919,1.3739723493389993,1.4191261666521935,4.158882618160592
43548,1.3688964658481222,1.4198643415181214,4.158882618160592
47177,1.3641864728520283,1.4160200060070638,4.158882618160592
50806,1.3601213026289836,1.421936262226567,4.158882618160592
54435,1.356620903710223,1.4206583827747128,4.158882618160592
58064,1.3331071443221365,1.4262847060304005,4.158882618160592
