iterations,iterations_proportions,validAccuracies
2432,0.19998355398404735,0.7068222556638127
4864,0.3999671079680947,0.7337558615518154
7296,0.5999506619521421,0.7495082202967628
9728,0.7999342159361894,0.7590305134539628
12160,0.9999177699202368,0.7684654932434861
14593,1.1999835539840473,0.7713981951813293
17025,1.3999671079680946,0.7760720283922528
19457,1.5999506619521422,0.7776231246886252
21889,1.7999342159361895,0.7819990652333578
24321,1.9999177699202368,0.7826975721747705
26754,2.1999835539840475,0.7847211878726869
29186,2.3999671079680946,0.7829184236341878
31618,2.599950661952142,0.7819066157852297
34050,2.7999342159361893,0.7839199593222428
36482,2.999917769920237,0.7807509976836278
38915,3.1999835539840475,0.7846749631486227
