iterations,iterations_proportions,validAccuracies
1434,0.19988848620016728,0.7393981026581915
2868,0.39977697240033455,0.7640061563611384
4302,0.5996654586005018,0.7755884629096632
5736,0.7995539448006691,0.7821622044642313
7170,0.9994424310008364,0.788527255810718
8608,1.1998884862001673,0.7933184351712564
10042,1.3997769724003346,0.7947705712024904
11476,1.599665458600502,0.7976922341156317
12910,1.799553944800669,0.8003791205446814
14344,1.9994424310008363,0.8017269114718747
15782,2.1998884862001673,0.8044051024755876
17216,2.3997769724003346,0.8029007938923333
18650,2.599665458600502,0.8025877585802109
20084,2.799553944800669,0.8020312513586602
21518,2.9994424310008365,0.8025181951775171
22956,3.1998884862001673,0.8064572228550559
24390,3.3997769724003346,0.8002747754406406
25824,3.599665458600502,0.7985965583506517
27258,3.799553944800669,0.7951096927906228
