iterations,iterations_proportions,trainLosses,validLosses
2991,0.2,1.957808738885138,1.3931455942626778
5982,0.4,1.5838596516929315,1.10225503433449
8973,0.6,1.4050980372717452,0.9949945341094268
11964,0.8,1.296682538928614,0.9414420368531757
14955,1.0,1.2219917831911924,0.8964674075652366
17946,1.2,0.9976324321672854,0.8980840281213178
20937,1.4,0.9209529215757044,0.856803604062631
23928,1.6,0.8833201664999073,0.8495332848701517
26919,1.8,0.8577848098940453,0.8461138273133394
29910,2.0,0.8373606341134661,0.8207626774844764
32901,2.2,0.8361054011130166,0.8253598127779103
35892,2.4,0.7680205701585997,0.82412760134272
38883,2.6,0.7364518643986564,0.8231033526953294
41874,2.8,0.7157535424268553,0.8334015872189191
44865,3.0,0.6993357854716876,0.831339270001176
