iterations,iterations_proportions,trainLosses,validLosses
3378,0.2,1.5642879293859888,1.0937798721370873
6756,0.4,1.2745631897569478,0.9157147451683327
10134,0.6,1.1412768523286545,0.8423589857088195
13512,0.8,1.060778983614461,0.7912482332300257
16890,1.0,1.0038613838511434,0.7661271906009427
20268,1.2,0.8249168492866875,0.7653206325791501
23646,1.4,0.7692600863485594,0.7305616506823787
27024,1.6,0.7401004560410871,0.7246491656259254
30402,1.8,0.7196646546354972,0.7130614076499586
33780,2.0,0.7027255968565134,0.7104241859581736
37158,2.2,0.6959826995929083,0.711781744990084
40536,2.4,0.6434773098370816,0.721097132563591
43914,2.6,0.6166657443809538,0.7178679298747469
47292,2.8,0.5983792316541297,0.7285882942654468
50670,3.0,0.5830836031177892,0.7327613131867514
