iterations,iterations_proportions,validAccuracies
13352,0.2,0.6050787017142771
26704,0.4,0.6349313343575369
40056,0.6,0.6521031281274956
53408,0.8,0.6676300172167314
66760,1.0,0.6767083556851258
80112,1.2,0.683310443225511
93464,1.4,0.6871413766082758
106816,1.6,0.6909357981626124
120168,1.8,0.6947536247351722
133520,2.0,0.6964060190217264
146872,2.2,0.6991125753290511
160224,2.4,0.6987577552527883
173576,2.6,0.6978786627683269
186928,2.8,0.7006722857434416
200280,3.0,0.699910218350096
213632,3.2,0.7036091474300822
