iterations,iterations_proportions,trainLosses,validLosses
13352,0.2,1.2422305559053115,1.0376256820108247
26704,0.4,1.1145691653103118,0.9472919658171665
40056,0.6,1.0487197298048403,0.8983850575235502
53408,0.8,1.0050076243784023,0.856548610208968
66760,1.0,0.972656158670792,0.8336857308862696
80112,1.2,0.8436365673120969,0.8160771343960797
93464,1.4,0.821840572478378,0.803802596470971
106816,1.6,0.8076399219214369,0.7993193470898875
120168,1.8,0.7966667252842174,0.7882497062204371
133520,2.0,0.7873854076906084,0.7870424738706986
146872,2.2,0.7694528615040791,0.7768354413940676
160224,2.4,0.7494917462120662,0.7796988050496302
173576,2.6,0.7380046190097646,0.7873416783768931
186928,2.8,0.7297524562939207,0.785329362379704
200280,3.0,0.7227850999694302,0.7909440333910746
213632,3.2,0.7309847971153266,0.7784527784177243
