iterations,iterations_proportions,trainLosses,validLosses,randomLosses
529,0.2,2.0081865744689913,1.568732777989744,4.158882619399792
1058,0.4,1.7486173037319868,1.4135998320796932,4.158882619399792
1587,0.6,1.6248947615584415,1.3501164159513896,4.158882619399792
2116,0.8,1.5473628525810565,1.3006610660205133,4.158882619399792
2645,1.0,1.4955970404053456,1.274383802182044,4.158882619399792
3174,1.2,1.2429196710622603,1.250370107885552,4.158882619399792
3703,1.4,1.2224184830157203,1.2398704902741684,4.158882619399792
4232,1.6,1.2043275450037647,1.2445850361444306,4.158882619399792
4761,1.8,1.1883666953652927,1.235934122355151,4.158882619399792
5290,2.0,1.1756023965733713,1.242324663512975,4.158882619399792
5819,2.2,1.09413588892084,1.2381555664503103,4.158882619399792
6348,2.4,1.074973419900202,1.2523904393871506,4.158882619399792
6877,2.6,1.05728369605714,1.268996809028927,4.158882619399792
7406,2.8,1.0416383523571469,1.2903433443927474,4.158882619399792
7935,3.0,1.0277718307644073,1.2911073032845841,4.158882619399792
8464,3.2,0.9459750726678195,1.3163066044404514,4.158882619399792
8993,3.4,0.9223323868893946,1.3715377350346296,4.158882619399792
9522,3.6,0.9042236663368264,1.3813830440167598,4.158882619399792
10051,3.8,0.8874760989543395,1.4437148259403496,4.158882619399792
