iterations,iterations_proportions,validAccuracies
1033,0.2,0.43807389726477824
2066,0.4,0.4827435029349441
3099,0.6,0.5062352339430548
4132,0.8,0.5250748958764644
5165,1.0,0.5352558637991086
6198,1.2,0.5416615924202938
7231,1.4,0.5503811773875344
8264,1.6,0.5506125630221399
9297,1.8,0.5592347224590204
10330,2.0,0.5615242224224858
11363,2.2,0.5632169910124948
12396,2.4,0.564130355359622
13429,2.6,0.5625959032564484
14462,2.8,0.5684657914606522
15495,3.0,0.5680273765740312
16528,3.2,0.5667608446793482
17561,3.4,0.5625350122999732
