iterations,iterations_proportions,trainLosses,validLosses
1033,0.2,2.237734176067046,1.6930577664389799
2066,0.4,1.8993534692143885,1.4875415444011746
3099,0.6,1.745215296283696,1.3995730710247005
4132,0.8,1.64953157473049,1.340015588198027
5165,1.0,1.5845814835644414,1.310621769957267
6198,1.2,1.4246765723648513,1.3056506251854012
7231,1.4,1.334602692697309,1.2633245676121814
8264,1.6,1.290065421851153,1.2622873692527006
9297,1.8,1.2602732302720179,1.2333462662247539
10330,2.0,1.238792808300528,1.238332323752638
11363,2.2,1.2584636101764262,1.2325059146504271
12396,2.4,1.1765693072139467,1.2212784620041544
13429,2.6,1.1371571237173876,1.2407586621658417
14462,2.8,1.1113380394652415,1.224137393536901
15495,3.0,1.0920446606192447,1.240869262660528
16528,3.2,1.1291805090885771,1.2292196815861758
17561,3.4,1.037675007817129,1.2617979999008875
