iterations,iterations_proportions,validAccuracies
658,0.19987849331713245,0.6910480242805142
1316,0.3997569866342649,0.7292156652255805
1974,0.5996354799513973,0.7381159179849516
2632,0.7995139732685298,0.7537596736573988
3290,0.9993924665856622,0.7609032975826835
3950,1.1998784933171325,0.7640945066312739
4608,1.399756986634265,0.7692180073973592
5266,1.5996354799513974,0.7715796972742975
5924,1.7995139732685297,0.77235066215148
6582,1.9993924665856622,0.771140540065776
7242,2.1998784933171325,0.7706233104646283
7900,2.399756986634265,0.771784637304941
8558,2.5996354799513974,0.7693058388390636
