iterations,iterations_proportions,trainLosses,validLosses
658,0.19987849331713245,1.429221838984446,1.002864289865261
1316,0.3997569866342649,1.1776786266308064,0.8644965363711845
1974,0.5996354799513973,1.064512932252256,0.8153139048960151
2632,0.7995139732685298,0.9961217200457144,0.7740826140089733
3290,0.9993924665856622,0.9483145487163567,0.7407163198401289
3950,1.1998784933171325,0.7240667289694754,0.7289244824793281
4608,1.399756986634265,0.7081691149656171,0.7134609707971898
5266,1.5996354799513974,0.6958439261506273,0.703920976708575
5924,1.7995139732685297,0.6846078879406569,0.7128796453883008
6582,1.9993924665856622,0.6738625264004734,0.7138462585646932
7242,2.1998784933171325,0.6104240782989194,0.7149156134303023
7900,2.399756986634265,0.5978142013348707,0.7136834345212797
8558,2.5996354799513974,0.5854173810225973,0.7275518690667502
