iterations,iterations_proportions,validAccuracies
940,0.2,0.2848978939375774
1880,0.4,0.3308422917582491
2820,0.6,0.3599488470607041
3760,0.8,0.3853921059292118
4700,1.0,0.3911734537558779
5640,1.2,0.40060477693854984
6580,1.4,0.4149116146478573
7520,1.6,0.42297086680254165
8460,1.8,0.43232226351756387
9400,2.0,0.43040402829396956
10340,2.2,0.4383034275133544
11280,2.4,0.43839667505894575
12220,2.6,0.44493732432828464
13160,2.8,0.4453635988224167
14100,3.0,0.4452170669650588
15040,3.2,0.4473217972798359
15980,3.4,0.44331215281940617
16920,3.6,0.4488670423210646
17860,3.8,0.44568330469301576
18800,4.0,0.44475082923710185
