iterations,iterations_proportions,trainLosses,validLosses
940,0.2,3.031430727116605,2.4516749556278468
1880,0.4,2.6463271162611375,2.13575555517824
2820,0.6,2.456670888095883,2.015357340689117
3760,0.8,2.3335973373118866,1.917764726667309
4700,1.0,2.246202792969156,1.8714436205518603
5640,1.2,2.058176733458296,1.8822672937399525
6580,1.4,1.9160494762532254,1.7813236194591586
7520,1.6,1.8483267673363923,1.7503804574377118
8460,1.8,1.8014002485478178,1.721807606592527
9400,2.0,1.7668585469367657,1.7137753797131916
10340,2.2,1.816083364917877,1.7324374739909885
11280,2.4,1.6831488989769143,1.6921976408689126
12220,2.6,1.62450409768321,1.6811140565777143
13160,2.8,1.5856932782746376,1.6800749238543335
14100,3.0,1.5573113836126125,1.6788924746339107
15040,3.2,1.6331434686133202,1.6963991881208957
15980,3.4,1.4953838013588114,1.702500474413368
16920,3.6,1.4386876557312958,1.7058733071995733
17860,3.8,1.4015322354245694,1.725046147143722
18800,4.0,1.3743269172754693,1.731261547221694
