iterations,iterations_proportions,trainLosses,validLosses
1369,0.1999123831775701,2.728641842123886,2.2254093513401876
2738,0.3998247663551402,2.4065963188778143,1.9735264006942714
4107,0.5997371495327103,2.244377790676987,1.8756055663549818
5476,0.7996495327102804,2.142002752547372,1.7973149143210305
6845,0.9995619158878505,2.0690853031296377,1.7448323503442125
8217,1.19991238317757,1.8637696189371837,1.7584643874461667
9586,1.3998247663551402,1.7739357634823718,1.700276224379659
10955,1.5997371495327102,1.7268298944766312,1.6852353580448785
12324,1.7996495327102804,1.6951021924125094,1.6615857597364108
13693,1.9995619158878504,1.6699798307251634,1.6549423227006048
15065,2.19991238317757,1.683679895299991,1.6696311593870368
16434,2.39982476635514,1.595418072817881,1.6600338149994
17803,2.5997371495327104,1.5513142686067836,1.6600703926998825
19172,2.7996495327102804,1.5222926222337607,1.649230598317192
20541,2.9995619158878504,1.4990900741866944,1.6608794471397488
21913,3.19991238317757,1.5380609118215702,1.6531463177166115
23282,3.39982476635514,1.4375956770797296,1.702164251060312
24651,3.5997371495327104,1.3893372148442273,1.7097813238587085
26020,3.7996495327102804,1.357694481316494,1.7180041414187004
