iterations,iterations_proportions,validAccuracies,randomAccuracies
3629,0.2,0.4938942660421017,0.015662918336249224
7258,0.4,0.5069840284440431,0.015417771883289124
10887,0.6,0.5181267283706755,0.01568408205880693
14516,0.8,0.5231848580619674,0.015844573621536205
18145,1.0,0.5320083667249845,0.015745809582933572
21774,1.2,0.536038292228681,0.01586926463118686
25403,1.4,0.5375832439753937,0.015624118178226763
29032,1.6,0.5392639962751848,0.015749336870026526
32661,1.8,0.5399041988825555,0.015516535921891755
36290,2.0,0.5421969354929737,0.015620590891133811
39919,2.2,0.5440469975732265,0.015863973700547436
43548,2.4,0.5419958801286754,0.01582693718607145
47177,2.6,0.5430011569501665,0.015786373384502513
50806,2.8,0.5433362492239968,0.015692900276539308
54435,3.0,0.5437119052993962,0.01551829956543823
58064,3.2,0.5455090580732547,0.015345462497883627
61693,3.4,0.5436501777752695,0.015504190417066426
65322,3.6,0.5418741887239686,0.0155853180202043
68951,3.8,0.5406255290930639,0.015615299960494385
72580,4.0,0.544085797731249,0.015541226931542413
76209,4.2,0.5446148907951917,0.016084429143856875
