iterations,iterations_proportions,trainLosses,validLosses
7087,0.19997742599960497,1.6501428051695965,1.409802235974883
14174,0.39995485199920994,1.5049078995037335,1.3262492697792676
21261,0.5999322779988149,1.4362836231444573,1.2800690646001347
28348,0.7999097039984199,1.393573318125163,1.2511470738146577
35435,0.9998871299980248,1.3630360390918959,1.2264538453296714
42526,1.199977425999605,1.2499206567476713,1.2110170962370246
49613,1.39995485199921,1.2162228479605055,1.2025426605978218
56700,1.5999322779988148,1.1966901302511461,1.2006444866933608
63787,1.7999097039984198,1.182680273942909,1.1939129240978337
70874,1.9998871299980248,1.1714925211105358,1.1932345123320438
77965,2.199977425999605,1.1523841123529124,1.1815440990474058
85052,2.39995485199921,1.116880068468479,1.1960003039499587
92139,2.599932277998815,1.0972720532929547,1.216453625563222
99226,2.79990970399842,1.083299270024568,1.2138945798928542
106313,2.999887129998025,1.0724845858257412,1.2192510228526914
113404,3.199977425999605,1.0815971255537922,1.1883264932930864
